epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5811781597898361,0.806060606060606,0.8055084632400505,0.3388498887419701,0.9461279461279462,0.9458015744257313
2,0.25290961246541205,0.94006734006734,0.9398763433881266,0.18263875022530557,0.9562289562289562,0.9559886233770697
3,0.04421532080270984,0.9878787878787879,0.9878235924011639,0.04001407141768141,0.9831649831649831,0.983077782072757
4,0.01572928902757493,0.9946127946127946,0.9945821897711933,0.0572888345199317,0.9696969696969697,0.9694297167981379
5,0.007399239655995266,0.9959595959595959,0.9959381443298968,0.0014655791579571086,1.0,1.0
6,0.006027402446055388,0.9986531986531987,0.9986460481099657,0.005564848119138333,0.9966329966329966,0.9966145094905438
7,0.005174675626357326,0.9986531986531987,0.9986460481099657,0.0011517188111611176,1.0,1.0
8,0.007606737548485398,0.9973063973063973,0.9972920962199313,0.00531795830770534,0.9966329966329966,0.9966145094905438
9,0.0015739577287062507,1.0,1.0,0.0008127210953716713,1.0,1.0
10,0.0008987107068721943,1.0,1.0,0.0004614513128672115,1.0,1.0
