epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.8152901606356844,0.6134680134680135,0.5977853639012222,2.1004568129777907,0.3367003367003367,0.16792611251049538
2,0.6299667054034294,0.6707070707070707,0.6617912655166805,1.230541206523776,0.44107744107744107,0.35979832926739114
3,0.5529191113532858,0.7178451178451178,0.7102253649142062,0.603434806317091,0.6397306397306397,0.6138128660015845
4,0.5589110940060718,0.7306397306397306,0.7265154302659451,1.2497885663527994,0.468013468013468,0.3988540203899385
5,0.4882378426003963,0.7744107744107744,0.7715618464095039,0.43762618228793143,0.7441077441077442,0.7215411474670734
6,0.4415146378760642,0.7986531986531986,0.797168321436385,1.0341717212810182,0.5824915824915825,0.5388945747265729
7,0.33272130105723724,0.8653198653198653,0.8638734226216296,1.0915977174416185,0.5824915824915825,0.5180330937406409
8,0.24544441668277092,0.9084175084175085,0.907652767168306,0.26698213070631027,0.8754208754208754,0.8729180256577518
9,0.18800099463538922,0.9353535353535354,0.9349180445577963,3.475074464199133,0.3434343434343434,0.18224438477603036
10,0.20104078036990572,0.9259259259259259,0.9256386653088322,0.31581408679485323,0.8922558922558923,0.8906844063701537
11,0.20559234758640857,0.9239057239057239,0.9234458262867161,0.29830054924823346,0.8417508417508418,0.8344694020165718
12,0.160252567182513,0.9454545454545454,0.9451090859953245,0.48380249163601546,0.835016835016835,0.8355165467216207
13,0.11663771016483611,0.960942760942761,0.9607771242435096,0.179082890227437,0.9124579124579124,0.9120721673913162
14,0.10484099962768402,0.9643097643097643,0.9641543206667093,1.2233424981066492,0.6767676767676768,0.5738160455721686
15,0.11459471150598627,0.9616161616161616,0.9615108880504414,0.13224537982605397,0.9528619528619529,0.9525505146614545
16,0.11079284239639627,0.9643097643097643,0.9641589204649383,0.22299413366708903,0.898989898989899,0.8972384944500855
17,0.06902023881396398,0.9764309764309764,0.9763505367224593,0.25451035978039727,0.8855218855218855,0.8836556638675078
18,0.14074526741070317,0.9528619528619529,0.9526936180319314,0.22286598213249817,0.9023569023569024,0.9019208336452329
19,0.10146853387197281,0.9676767676767677,0.9675802840159021,0.5541351139196194,0.7777777777777778,0.7431539567497022
20,0.10582138938789672,0.9676767676767677,0.96755581821202,0.37410069881007074,0.7946127946127947,0.7727228454919343
