model,accuracy,precision_macro,recall_macro,f1_macro
random_forest_pca,0.9595959595959596,0.9593634270843759,0.9594845360824742,0.9592792398908312
baseline_cnn,0.7676767676767676,0.8152898874729861,0.7659793814432989,0.7651950482933819
resnet18,0.9562289562289562,0.9587850986933556,0.95553264604811,0.955842924263977
